Year,Manufacturer,Region,MilesDriven,FuelType,SellerType,TransmissionType,PrevOwnerCount,SeatCount,MPG,Power(bhp),EnginePower(CC),SellingPrice($)
2006,1,1,86991.94,0,0,1,3,5,41.63,78.0,1497,158000
2011,2,1,55923.39,1,0,1,1,5,55.49,67.1,1364,350000
2013,3,2,105011.69900000001,1,0,1,1,5,47.04,68.1,1399,200000
2017,1,1,31068.55,1,0,1,1,5,59.98,98.6,1498,950000
2013,4,2,43495.97,1,0,1,1,7,42.81,73.8,1248,300000
2019,5,2,3106.855,0,0,0,1,5,37.63,160.77,1368,2100000
2018,1,1,17957.621900000002,0,1,1,1,5,41.87,117.3,1497,925000
2013,1,1,53624.3173,0,1,1,1,5,39.52,116.3,1497,425000
2014,2,1,47845.567,1,1,1,1,7,29.52,168.5,2982,1500000
2013,2,1,61515.729,1,1,1,1,7,30.55,100.0,2494,700000
2014,6,3,17274.1138,1,1,0,2,5,34.81,120.7,2143,1450000
2015,1,1,30944.2758,1,1,1,1,5,58.1,98.63,1498,425000
2013,7,1,93827.02100000001,1,1,1,1,7,31.75,175.56,2477,1090000
2015,1,1,33988.9937,1,1,1,1,5,61.16,98.6,1498,600000
2015,1,1,39146.373,1,1,1,1,5,64.21,98.6,1498,525000
2016,2,1,79349.0767,1,1,0,2,7,26.72,171.5,2755,1650000
2016,2,1,61515.729,1,1,1,1,7,30.55,100.6,2494,950000
2013,8,3,21064.4769,1,1,0,2,5,41.59,174.33,1968,1750000
2018,2,1,15534.275,0,1,0,1,5,33.59,138.03,1798,1590000
2013,8,3,31068.55,1,1,0,1,5,43.59,187.74,1968,1689999
2013,6,3,36660.889,1,1,0,1,5,34.91,170.0,2143,1425000
2017,3,2,15534.275,0,0,1,3,5,42.71,86.8,1196,600000
2016,9,3,24854.84,1,0,1,1,5,51.75,108.495,1498,540000
2015,1,1,83885.085,1,0,1,1,5,59.04,98.6,1498,630000
2017,9,3,49709.68,1,0,1,1,5,50.95,108.62,1498,500000
2015,2,1,48466.938,1,0,1,2,7,29.52,168.5,2982,1700000
2013,9,3,105633.07,1,0,1,1,5,48.31,103.6,1598,450000
2016,2,1,86991.94,1,0,1,1,8,30.55,100.6,2494,1200000
2015,3,2,55923.39,1,0,1,1,5,53.56,98.59,1498,610000
2016,10,3,18641.13,0,0,0,2,5,36.95,189.0,1998,2500000
2015,9,3,26097.582,0,1,1,1,5,38.74,74.0,1198,455000
2012,9,3,7456.452,0,1,1,2,5,35.38,103.6,1598,535000
2020,3,2,3106.855,0,0,1,2,5,44.69,94.68,1194,400000
2010,9,3,70836.294,0,0,1,1,5,33.64,160.0,1798,700000
2009,2,1,62137.1,0,0,1,2,5,34.18,138.1,1798,300000
2014,11,1,43495.97,1,0,1,3,5,48.1,83.8,1461,400000
2017,3,2,47310.566569,1,0,1,1,5,54.1,98.96,1498,850000
2019,1,1,809.646413,0,1,1,1,5,41.87,86.7,1198,690000
2018,8,3,19759.5978,1,1,0,1,5,40.01,188.0,1968,3975000
2019,12,3,12427.42,0,1,0,1,5,52.62,214.56,2487,5150000
2017,13,3,27961.695,1,1,0,1,5,45.47,177.0,1999,3200000
2018,10,3,18330.4445,1,1,0,1,5,52.88,187.74,1995,3790000
2019,10,3,4660.2825,1,1,0,1,5,39.47,190.0,1995,5800000
2016,6,3,21747.985,1,1,0,1,5,35.28,204.0,2143,2700000
2017,1,1,25476.211,0,1,0,1,5,42.34,117.6,1497,795000
2013,2,1,24233.469,0,1,0,1,5,33.59,138.03,1798,625000
2015,8,3,32932.663,1,1,0,1,7,28.39,241.4,2967,2650000
2010,10,3,44862.9862,0,1,0,2,5,25.4,150.0,2497,975000
2017,13,3,5592.339,1,1,0,1,5,31.99,177.0,1999,2625000
2011,9,3,30447.179,0,0,1,1,5,35.38,103.6,1598,375000
2018,6,3,11184.678,0,1,0,1,5,35.38,183.0,1991,2550000
2017,6,3,9941.936,0,1,0,1,5,34.67,181.04,1991,2700000
2017,1,1,11184.678,0,1,0,1,5,36.69,116.3,1497,875000
2019,2,1,5998.715634,0,1,0,1,5,46.01,81.8,1197,894999
2016,2,1,26198.865473,1,1,0,2,7,26.72,171.5,2755,1525000
2016,10,3,18641.13,1,1,0,1,5,53.37,190.0,1995,2150000
2016,2,1,25476.211,0,1,0,1,5,45.07,157.7,2494,1900000
2016,10,3,7456.452,1,1,0,1,5,42.62,190.0,1995,2900000
2009,2,1,44117.341,0,1,0,1,5,28.46,164.7,2362,450000
2011,9,3,62137.1,1,0,1,2,5,48.31,103.6,1598,300000
2018,3,2,5903.0245,0,0,1,1,5,42.71,86.8,1196,575000
2011,3,2,74564.52,1,0,1,1,5,47.04,68.0,1399,160000
2019,9,3,8077.823,0,0,1,1,5,45.73,75.0,999,480000
2005,1,1,74564.52,0,0,1,2,5,30.58,100.0,1493,100000
2010,2,1,37282.26,1,0,1,1,5,50.41,87.2,1364,300000
2014,2,1,18641.13,1,0,1,2,7,30.58,168.5,2982,1750000
2009,1,1,29204.437,0,0,1,2,5,39.99,118.0,1497,345000
2015,1,1,31068.55,0,0,1,1,5,40.93,117.3,1497,600000
2014,1,1,37282.26,0,0,1,2,5,45.63,86.8,1198,290000
2012,2,1,62137.1,0,0,0,1,5,34.18,138.1,1794,550000
2012,1,1,37282.26,0,0,1,1,5,45.63,86.8,1198,265000
2014,11,1,22990.727,0,0,1,1,5,39.87,97.7,1498,550000
2018,3,2,9320.565,0,0,1,1,5,39.99,121.36,1497,910000
2015,11,1,49709.68,0,0,1,1,5,45.84,67.04,1198,300000
2013,2,1,43495.97,1,0,1,1,7,30.55,100.57,2494,700000
2019,1,1,9320.565,0,0,0,1,5,44.69,88.76,1199,680000
2015,1,1,31068.55,1,0,1,2,5,61.16,98.6,1498,725000
2011,2,1,112468.151,1,0,1,2,7,27.05,171.0,2982,1150000
2013,11,1,55923.39,0,0,0,2,5,42.27,99.6,1498,350000
2011,2,1,74564.52,1,0,1,1,7,30.11,102.0,2494,480000
2014,1,1,20525.748243000002,0,1,1,1,5,45.63,86.8,1198,335000
2018,6,3,4956.055096,1,0,0,1,5,42.1,170.0,2143,4600000
2012,4,2,37282.26,0,0,1,3,5,43.75,79.4,1199,120000
2017,1,1,18641.13,1,0,1,1,5,60.21,97.9,1498,1300000
2017,1,1,20505.243,1,0,1,1,5,60.21,97.9,1498,1250000
2014,11,1,49771.8171,1,0,1,2,5,44.71,108.5,1461,555000
2014,1,1,74564.52,0,0,1,1,5,40.93,117.3,1497,725000
2013,2,1,99419.36,1,0,1,2,8,30.55,100.6,2494,800000
2007,2,1,74564.52,1,0,1,3,8,30.11,102.0,2494,404000
2011,11,1,31068.55,1,0,1,1,5,54.29,63.1,1461,250000
2011,11,1,27961.695,1,0,1,1,5,54.29,63.1,1461,275000
